A,C,P,B,L,R,LA
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,78,18.6584,110,1,8
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,84,24.948,110,1,9
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
3,2,87,19.188,120,1,10
